Region;Prevalance_obésité_en%;Classement
Ile-de-France;0,14;14
Champagne;0,21;2
Picardie;0,20;3
Haute-Normandie;0,20;4
Centre;0,17;8
Basse-Normandie;0,16;10
Bourgogne;0,15;13
Nord Pas de Calais;0,21;1
Lorraine;0,17;7
Alsace;0,19;5
Franche Comté;0,15;12
Pas de la Loire;0,12;19
Bretagne;0,12;18
Poitou Charentes ;0,14;16
Aquitaine;0,16;9
Midi-Pyrénées ;0,12;21
Limousin;0,18;6
Rhône-Alpes ;0,13;17
Auvergne;0,14;14
Languedoc-Roussillon;0,16;10
Provence-Alpes-Côte d'Azur;0,12;20
France;0,15;
